,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Artist,ltable_Genre,rtable_Title,rtable_Artist,rtable_Genre,Match
80,80,169,2,reputation [CD],Taylor Swift,Pop,reputation,Taylor Swift,"Pop,Adult Contemporary,Pop/Rock,Dance-Pop,Teen Pop",1
81,81,912,2,reputation [Picture Disc] [2 LP] [LP] - VINYL,Taylor Swift,Pop,reputation,Taylor Swift,"Pop,Adult Contemporary,Pop/Rock,Dance-Pop,Teen Pop",1
88,88,516,5,Unapologetically [CD],Kelsea Ballerini,Country,Unapologetically,Kelsea Ballerini,"Pop,Country,Pop/Rock,Contemporary Country,Country-Pop",1
135,135,2304,8, The Neighbourhood [CD],The Neighbourhood,Electronic/Dance,The Neighbourhood,The Neighbourhood,"Pop,Electronic,Pop/Rock,Contemporary Pop/Rock,Left-Field Pop,Synthwave",1
155,155,1318,10,Thank You [CD],Meghan Trainor,Pop,Thank You,Meghan Trainor,"Pop,Pop/Rock,Dance-Pop,Teen Pop,Contemporary Pop/Rock",1
167,167,2188,10,Thank You [Deluxe Edition] [CD],Meghan Trainor,Pop,Thank You,Meghan Trainor,"Pop,Pop/Rock,Dance-Pop,Teen Pop,Contemporary Pop/Rock",1
306,306,2696,18,Mad Love [CD] [PA],JoJo,Pop,Mad Love,JoJo,"Pop,Pop/Rock,Dance-Pop",1
330,330,4357,18,Mad Love [CD],JoJo,Pop,Mad Love,JoJo,"Pop,Pop/Rock,Dance-Pop",1
347,347,3686,22,So Good [CD] [PA],Zara Larsson,Electronic/Dance,So Good,Zara Larsson,"Pop,Electronic,Pop/Rock,Dance-Pop",1
609,609,733,31,Revival [CD],Selena Gomez,Pop,Revival,Selena Gomez,"Pop,Pop/Rock,Dance-Pop,Club/Dance",1
652,652,3782,36,Sounds Good Feels Good [CD],5 Seconds of Summer,Pop,Sounds Good Feels Good,5 Seconds of Summer,"Pop,Pop/Rock,Teen Pop,Punk-Pop",1
670,670,274,37,A Fever You Can't Sweat Out [CD],Panic! At the Disco,Pop,Wiped Out!,The Neighbourhood,"Pop,Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock,Left-Field Pop",0
686,686,3694,37,Fever You Can't Sweat Out [LP] - VINYL,Panic! At the Disco,Pop,Wiped Out!,The Neighbourhood,"Pop,Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock,Left-Field Pop",0
692,692,1316,38,Purpose [CD],Justin Bieber,Pop,Purpose,Justin Bieber,"Pop,Pop/Rock,Dance-Pop",1
694,694,3351,38,Purpose [LP] - VINYL,Justin Bieber,Pop,Purpose,Justin Bieber,"Pop,Pop/Rock,Dance-Pop",1
743,743,2057,44,This Is Acting [Deluxe Edition] [CD],Sia,Pop,This Is Acting,Sia,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Alternative Singer/Songwriter,Left-Field Pop",0
744,744,3250,44,This Is Acting [CD],Sia,Pop,This Is Acting,Sia,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Alternative Singer/Songwriter,Left-Field Pop",1
1578,1578,1295,48,Lukas Graham [CD],Lukas Graham,Pop,Lukas Graham,Lukas Graham,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock",1
2566,2566,1124,65,The Resistance [Deluxe Edition] [CD],Crown the Empire,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2574,2574,1543,65,Sticky Fingers [Deluxe Edition] [CD],The Rolling Stones,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2580,2580,1850,65,Pure [Deluxe Remastered Reissue] [LP] - VINYL,The Jesus Lizard,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2602,2602,3276,65,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition Deluxe Version] [CD & DVD],The Beatles,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2605,2605,3291,65,Sports! [30th Anniversary Deluxe Edition] [CD],Huey Lewis & the News,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2609,2609,3458,65,Special Beat Service [Deluxe Edition] [CD & DVD],The English Beat,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2616,2616,3945,65,Strange Days [Deluxe Edition] [CD],The Doors,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2634,2634,239,65,Doors [50th Anniversary Remastered Edition] [1CD] [CD],The Doors,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2635,2635,246,65,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition] [LP] - VINYL,The Beatles,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2637,2637,259,65,Heartbeat City [Expanded Edition] [CD],The Cars,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2638,2638,428,65,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition 2 CD] [CD],The Beatles,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2640,2640,507,65,Abbey Road [Limited Edition] [2009 Remaster] [Enhanced CD],The Beatles,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2641,2641,512,65,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition] [CD],The Beatles,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2670,2670,2523,65,Pet Sounds [50th Anniversary Stereo Edition] [LP] - VINYL,The Beach Boys,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2675,2675,2776,65,Documentary 2/2.5  [Collector's Edition] [CD] [PA],The Game,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2676,2676,2878,65,Shake It Up [Expanded Edition] [CD],The Cars,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2687,2687,3687,65,Rage Against the Machine XX [20th Anniversary Edition] [CD] [PA],Rage Against the Machine,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2720,2720,4124,65,Super Hits [CD],Gary Puckett & the Union Gap,Pop,The Velvet Underground [45th Anniversary Super Deluxe Edition],The Velvet Underground,Pop,0
2952,2952,312,73,"Guardians of the Galaxy: Awesome Mix, Vol. 1 [Enhanced CD]",Various Artists,Pop,PC Music Volume 1,Various Artists,"Pop,Electronic",0
2972,2972,1012,73,"Frikyiwa Collection, Vol. 1 [CD]",Various Artists,Electronic/Dance,PC Music Volume 1,Various Artists,"Pop,Electronic",0
3009,3009,3659,73,Wake Up You! Vol. 1 : The Rise & Fall of Nigerian Rock Music 1972-1977 [CD],Various Artists,Pop,PC Music Volume 1,Various Artists,"Pop,Electronic",0
3035,3035,424,73,Now That's What I Call Music! 64 [CD],Various Artists,Pop,PC Music Volume 1,Various Artists,"Pop,Electronic",0
3043,3043,626,73,Now That's What I Call Music! 62 [CD],Various Artists,Electronic/Dance,PC Music Volume 1,Various Artists,"Pop,Electronic",0
3047,3047,790,73,Now That's What I Call Music! 63 [CD],Various Artists,Pop,PC Music Volume 1,Various Artists,"Pop,Electronic",0
3059,3059,1020,73,Now That's What I Call Music! 61 [CD],Various Artists,Pop,PC Music Volume 1,Various Artists,"Pop,Electronic",0
3061,3061,1067,73,Now That's What I Call Music! 59 [CD],Various Artists,Pop,PC Music Volume 1,Various Artists,"Pop,Electronic",0
3062,3062,1113,73,Now That's What I Call Music! 60 [Deluxe Edition] [CD],Various Artists,Pop,PC Music Volume 1,Various Artists,"Pop,Electronic",0
3065,3065,1164,73,Now That's What I Call Music! 60 [CD],Various Artists,Pop,PC Music Volume 1,Various Artists,"Pop,Electronic",0
3112,3112,2768,73,Now That's What I Call Music! 57 [CD],Various Artists,Pop,PC Music Volume 1,Various Artists,"Pop,Electronic",0
3116,3116,2918,73,Now That's What I Call Music! 55 [CD],Various Artists,Pop,PC Music Volume 1,Various Artists,"Pop,Electronic",0
3153,3153,4313,73,Now That's What I Call Music! 58 [16-Track CD] [CD],Various Artists,Pop,PC Music Volume 1,Various Artists,"Pop,Electronic",0
3218,3218,413,77,Blurryface [LP] - VINYL,Twenty One Pilots,Pop,Blurryface,Twenty One Pilots,"Pop,Rap,Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Rock,Underground Rap",1
3219,3219,713,77,Blurryface [CD],Twenty One Pilots,Pop,Blurryface,Twenty One Pilots,"Pop,Rap,Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Rock,Underground Rap",1
3348,3348,3246,82,Love Songs [CD],Elton John,Pop,Love in the Future,John Legend,"Pop,R&B,Soul,Urban,Pop/Rock,Contemporary Pop/Rock,Neo-Soul,Adult Contemporary R&B,Contemporary R&B",0
3379,3379,1028,86,Pure Heroine [CD],Lorde,Pop,Pure Heroine,Lorde,"Pop,Pop/Rock",1
3380,3380,1108,86,Pure Heroine [LP] - VINYL,Lorde,Pop,Pure Heroine,Lorde,"Pop,Pop/Rock",1
3567,3567,2771,100,Goodbye Yellow Brick Road [LP] - VINYL,Elton John,Pop,Goodbye Yellow Brick Road [40th Anniversary Edition],Elton John,Pop,1
3569,3569,3117,100,The Long Road Home: The Ultimate John Fogerty/Creedence Collection [CD] [PA],John Fogerty,Pop,Goodbye Yellow Brick Road [40th Anniversary Edition],Elton John,Pop,0
3571,3571,3843,100,Goodbye Yellow Brick Road [CD],Elton John,Pop,Goodbye Yellow Brick Road [40th Anniversary Edition],Elton John,Pop,1
3797,3797,688,102,In the Lonely Hour [CD],Sam Smith,Pop,In the Lonely Hour,Sam Smith,"Pop,Adult Contemporary,Pop/Rock,Contemporary R&B,Left-Field Pop",1
3800,3800,3358,102,In the Lonely Hour [Drowning Shadows Edition] [LP] - VINYL,Sam Smith,Pop,In the Lonely Hour,Sam Smith,"Pop,Adult Contemporary,Pop/Rock,Contemporary R&B,Left-Field Pop",1
3867,3867,701,107,x [CD],Ed Sheeran,Pop,X,Ed Sheeran,"Pop,Singer/Songwriter,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Alternative Singer/Songwriter",1
3868,3868,718,107,x [Wembley Edition] [Deluxe Edition] [CD & DVD],Ed Sheeran,Pop,X,Ed Sheeran,"Pop,Singer/Songwriter,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Alternative Singer/Songwriter",1
3870,3870,2002,107,x [2-LP] [LP] - VINYL,Ed Sheeran,Pop,X,Ed Sheeran,"Pop,Singer/Songwriter,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Alternative Singer/Songwriter",1
4665,4665,244,118,Unorthodox Jukebox [CD] [PA],Bruno Mars,Pop,Unorthodox Jukebox,Bruno Mars,"Pop,R&B,Pop/Rock",1
4666,4666,4147,118,Unorthodox Jukebox [Clean] [CD],Bruno Mars,Pop,Unorthodox Jukebox,Bruno Mars,"Pop,R&B,Pop/Rock",1
4673,4673,1221,119,Native [Bonus Tracks] [2014] [CD],OneRepublic,Pop,Native,OneRepublic,"Pop,Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Contemporary Pop/Rock",1
4696,4696,424,122,Now That's What I Call Music! 64 [CD],Various Artists,Pop,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",0
4708,4708,790,122,Now That's What I Call Music! 63 [CD],Various Artists,Pop,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",0
4720,4720,1020,122,Now That's What I Call Music! 61 [CD],Various Artists,Pop,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",0
4722,4722,1067,122,Now That's What I Call Music! 59 [CD],Various Artists,Pop,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",0
4723,4723,1113,122,Now That's What I Call Music! 60 [Deluxe Edition] [CD],Various Artists,Pop,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",0
4724,4724,1114,122,Stranger Things [Music From the Netflix Original Series] [LP] - VINYL,Various Artists,Soundtracks & Shows,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",0
4726,4726,1164,122,Now That's What I Call Music! 60 [CD],Various Artists,Pop,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",0
4762,4762,2374,122,"The Microcosm: Visionary Music of Continental Europe, 1970-1986 [CD]",Various Artists,Avant-Garde,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",0
4773,4773,2768,122,Now That's What I Call Music! 57 [CD],Various Artists,Pop,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",0
4777,4777,2918,122,Now That's What I Call Music! 55 [CD],Various Artists,Pop,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",0
4801,4801,3659,122,Wake Up You! Vol. 1 : The Rise & Fall of Nigerian Rock Music 1972-1977 [CD],Various Artists,Pop,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",0
4818,4818,4313,122,Now That's What I Call Music! 58 [16-Track CD] [CD],Various Artists,Pop,The Great Gatsby [Music from Baz Luhrmann's Film],Various Artists,"Pop,Rap,Avant-Garde,Pop/Rock,Adult Alternative Pop/Rock,Alternative Pop/Rock,Contemporary Pop/Rock,Soundtracks,Stage & Screen,Pop-Rap",0
4851,4851,4122,128,Wings Over America [Best Buy Exclusive] [CD],Paul McCartney,Pop,Wings Over America [Deluxe Edition],Paul McCartney & Wings,Pop,1
4853,4853,3382,128,Wings at the Speed of Sound [Bonus Tracks] [CD],Paul McCartney,Pop,Wings Over America [Deluxe Edition],Paul McCartney & Wings,Pop,0
4958,4958,4189,128,Over the Bridge of Time: A Paul Simon Retrospective (1964-2011) [CD],Paul Simon,Pop,Wings Over America [Deluxe Edition],Paul McCartney & Wings,Pop,0
4991,4991,2063,128,Graceland [25th Anniversary Edition] [LP] - VINYL,Paul Simon,Pop,Wings Over America [Deluxe Edition],Paul McCartney & Wings,Pop,0
5312,5312,2926,140,Dance Again...The Hits [CD],Jennifer Lopez,Pop,Dance Again...The Hits,Jennifer Lopez,"Pop,R&B",1
5514,5514,2836,147,Blown Away [CD],Carrie Underwood,Country,Blown Away,Carrie Underwood,"Pop,Country,Adult Contemporary,Pop/Rock,Pop Idol,Contemporary Country",1
5597,5597,2933,153,One Night Only: The Greatest Hits [LP] - VINYL,Elton John,Pop,Good Morning to the Night,Elton John vs Pnau,"Pop,Electronic,Pop/Rock,Club/Dance",0
5621,5621,439,155,The  Truth About Love [CD] [PA],P!nk,Pop,The  Truth About Love,P!nk,"Pop,Pop/Rock,Dance-Pop,Contemporary Pop/Rock",1
5623,5623,2303,155,Truth About Love [LP] [PA],P!nk,Pop,The  Truth About Love,P!nk,"Pop,Pop/Rock,Dance-Pop,Contemporary Pop/Rock",1
5686,5686,1930,155,What About Us [CD],P!nk,Pop,The  Truth About Love,P!nk,"Pop,Pop/Rock,Dance-Pop,Contemporary Pop/Rock",0
5765,5765,2277,160,Red [CD],Taylor Swift,Country,Red,Taylor Swift,"Pop,Country,Pop/Rock,Teen Pop,Contemporary Country,Country-Pop",1
5766,5766,2298,160,Red [LP] - VINYL,Taylor Swift,Country,Red,Taylor Swift,"Pop,Country,Pop/Rock,Teen Pop,Contemporary Country,Country-Pop",1
5897,5897,3046,171,Science & Faith [Bonus Tracks] [CD],The Script,Pop,Science & Faith,The Script,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock",1
5936,5936,174,174,The Essential Michael Jackson [CD],Michael Jackson,R&B Soul,Michael,Michael Jackson,"Pop,R&B,Pop/Rock,Dance-Pop,Adult Contemporary R&B,Contemporary R&B",0
5938,5938,822,174,Ladies & Gentlemen: The Best of George Michael [CD],George Michael,R&B Soul,Michael,Michael Jackson,"Pop,R&B,Pop/Rock,Dance-Pop,Adult Contemporary R&B,Contemporary R&B",0
6057,6057,4193,179,Who You Are [Platinum Edition] [CD],Jessie J,Pop,Who You Are,Jessie J,"Pop,Singer/Songwriter,Pop/Rock",1
6254,6254,214,187,Just Dance [Remix] [CD],Lady Gaga,Pop,Born This Way: The Remix,Lady Gaga,"Pop,R&B,Urban,Pop/Rock,Dance-Pop",0
7212,7212,3121,199,Beatles: Stereo Box Set [180 Gram Vinyl] [Reissue] [LP] - VINYL,The Beatles,Pop,Made in California [Box Set],The Beach Boys,"Pop,Pop/Rock,Contemporary Pop/Rock,AM Pop,Early Pop/Rock,Sunshine Pop,Surf",0
7223,7223,4208,199,Elektra Years: 1978-1987 [Six-LP Set of Colored Vinyl] [LP] - VINYL,The Cars,Pop,Made in California [Box Set],The Beach Boys,"Pop,Pop/Rock,Contemporary Pop/Rock,AM Pop,Early Pop/Rock,Sunshine Pop,Surf",0
7312,7312,3848,207,Come on Get Happy: Very Best of Partridge Family [Remastered] [CD],The Partridge Family,Pop,The Family Jewels,Marina and the Diamonds,"Indie,Rock,Pop",0
7390,7390,3293,213,Rokstarr [CD],Taio Cruz,Pop,Rokstarr,Taio Cruz,"Pop,R&B",1
7471,7471,214,219,Just Dance [Remix] [CD],Lady Gaga,Pop,The Remix,Lady Gaga,"Pop,Electronic,R&B,Urban,Pop/Rock,Dance-Pop,Club/Dance",0
7627,7627,4117,222,Speak Now [Deluxe Edition] [CD],Taylor Swift,Country,Speak Now,Taylor Swift,"Pop,Country,Pop/Rock,Contemporary Country",1
7690,7690,2884,224,Hands All Over [Bonus Track] [CD],Maroon 5,Pop,Hands All Over,Maroon 5,"Pop,Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock",1
7739,7739,199,225,Loud [CD],Rihanna,R&B Soul,Loud,Rihanna,"Pop,R&B,Dance-Pop,Contemporary R&B",1
7922,7922,880,231,Cryptoriana: The Seductiveness of Decay [CD],Cradle of Filth,Pop,5 Seconds of Summer,5 Seconds of Summer,"Pop,Pop/Rock,Teen Pop,Punk-Pop",0
8070,8070,1929,231,Kee of Hearts [CD],Kee of Hearts,Pop,5 Seconds of Summer,5 Seconds of Summer,"Pop,Pop/Rock,Teen Pop,Punk-Pop",0
8071,8071,1951,231,The  Disfigurement of Existence [CD],Signs of the Swarm,Pop,5 Seconds of Summer,5 Seconds of Summer,"Pop,Pop/Rock,Teen Pop,Punk-Pop",0
8094,8094,2147,231,Blood of My Enemy [CD],Winds of Plague,Pop,5 Seconds of Summer,5 Seconds of Summer,"Pop,Pop/Rock,Teen Pop,Punk-Pop",0
8174,8174,2782,231,Theory of a Deadman [CD] [PA],Theory of a Deadman,Pop,5 Seconds of Summer,5 Seconds of Summer,"Pop,Pop/Rock,Teen Pop,Punk-Pop",0
8300,8300,3736,231,Bestial Hymns of Perversion [CD],Of Feather and Bone,Pop,5 Seconds of Summer,5 Seconds of Summer,"Pop,Pop/Rock,Teen Pop,Punk-Pop",0
8319,8319,3845,231,Temple of the Dog [CD],Temple of the Dog,Pop,5 Seconds of Summer,5 Seconds of Summer,"Pop,Pop/Rock,Teen Pop,Punk-Pop",0
9115,9115,1836,233,Love Deluxe [CD],Sade,R&B Soul,Soldier Of Love,Sade,"Pop,R&B,Soul",0
9125,9125,2917,233,Love Deluxe [LP] - VINYL,Sade,R&B Soul,Soldier Of Love,Sade,"Pop,R&B,Soul",0
9167,9167,3421,234,All Four One [CD],The Motels,Pop,"Fixin' The Charts, Volume One",Everybody Was In The French Resistance...Now,"Rock,Pop",0
9486,9486,2478,243,Back to Front: Live in London [Video] [Blu-Ray Disc],Peter Gabriel,Pop,Scratch My Back,Peter Gabriel,"Rock,Pop",0
9551,9551,326,246,Best of the Mamas & the Papas: 20th Century Masters [CD],The Mamas & the Papas,Pop,"Interpreting The Masters, Volume 1: A Tribute to Daryl Hall And John Oates",The Bird And The Bee,"Rock,Pop",0
9557,9557,1548,246,20th Century Masters - The Millennium Collection: The Best of the Grass Roots [CD],The Grass Roots,Pop,"Interpreting The Masters, Volume 1: A Tribute to Daryl Hall And John Oates",The Bird And The Bee,"Rock,Pop",0
9571,9571,4279,246,20th Century Masters: The Millennium Collection: Best of the Moody Blues [CD],The Moody Blues,Pop,"Interpreting The Masters, Volume 1: A Tribute to Daryl Hall And John Oates",The Bird And The Bee,"Rock,Pop",0
9575,9575,179,246,1 [20-Track]  [CD],The Beatles,Pop,"Interpreting The Masters, Volume 1: A Tribute to Daryl Hall And John Oates",The Bird And The Bee,"Rock,Pop",0
9594,9594,690,246,1 [LP] - VINYL,The Beatles,Pop,"Interpreting The Masters, Volume 1: A Tribute to Daryl Hall And John Oates",The Bird And The Bee,"Rock,Pop",0
9625,9625,2883,246,"Prevail, Vol. 1 [CD]",Kobra and the Lotus,Pop,"Interpreting The Masters, Volume 1: A Tribute to Daryl Hall And John Oates",The Bird And The Bee,"Rock,Pop",0
9639,9639,3763,246,"The Traveling Wilburys, Vol. 1 [CD]",The Traveling Wilburys,Pop,"Interpreting The Masters, Volume 1: A Tribute to Daryl Hall And John Oates",The Bird And The Bee,"Rock,Pop",0
9648,9648,4043,246,1+ [CD/2-Blu-Ray] [CD & Blu-Ray],The Beatles,Pop,"Interpreting The Masters, Volume 1: A Tribute to Daryl Hall And John Oates",The Bird And The Bee,"Rock,Pop",0
10002,10002,1085,261,After Laughter [CD],Paramore,Pop,After Laughter,Paramore,"Pop,Pop/Rock,Alternative/Indie Rock,Emo-Pop,Left-Field Pop",1
10003,10003,3711,261,After Laughter [LP] - VINYL,Paramore,Pop,After Laughter,Paramore,"Pop,Pop/Rock,Alternative/Indie Rock,Emo-Pop,Left-Field Pop",1
10698,10698,271,271,The Fame [Bonus Track] [CD],Lady Gaga,Pop,The Fame Monster,Lady Gaga,"Rock,Dance,Pop",1
10699,10699,1388,271,The Fame [LP] - VINYL,Lady Gaga,Pop,The Fame Monster,Lady Gaga,"Rock,Dance,Pop",1
10700,10700,3379,271,The Fame Monster [Deluxe Edition] [CD],Lady Gaga,Pop,The Fame Monster,Lady Gaga,"Rock,Dance,Pop",1
11710,11710,1632,288,Reality [CD],David Bowie,Pop,A Reality Tour,David Bowie,"Rock,Pop",1
12457,12457,2173,293,I See You [CD],The xx,Pop,Who I Am,Nick Jonas And The Administration,"Rock,Pop",0
12464,12464,2781,293,I Am Human [CD],Escape the Fate,Pop,Who I Am,Nick Jonas And The Administration,"Rock,Pop",0
12475,12475,268,293,Playlist: The Very Best of the Guess Who [CD],The Guess Who,Pop,Who I Am,Nick Jonas And The Administration,"Rock,Pop",0
12478,12478,2574,293,The Who by Numbers [CD],The Who,Pop,Who I Am,Nick Jonas And The Administration,"Rock,Pop",0
12486,12486,36,295,Beautiful Trauma [CD] [PA],P!nk,Pop,Beautiful Trauma,P!nk,"Pop,R&B,Pop/Rock,Dance-Pop,Contemporary Pop/Rock",1
12490,12490,3666,295,Beautiful Trauma [LP] - VINYL,P!nk,Pop,Beautiful Trauma,P!nk,"Pop,R&B,Pop/Rock,Dance-Pop,Contemporary Pop/Rock",1
13125,13125,902,297,Younger Now [CD],Miley Cyrus,Pop,Younger Now,Miley Cyrus,"Pop,Vocal,Pop/Rock",1
