,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Artist,ltable_Genre,rtable_Title,rtable_Artist,rtable_Genre,Match
14561,14561,3687,311,Rage Against the Machine XX [20th Anniversary Edition] [CD] [PA],Rage Against the Machine,Pop,xx,The xx,"Indie,Rock,Pop",0
14618,14618,4115,312,Love & Hate [CD],Michael Kiwanuka,Pop,Crazy Love,Michael Buble,"Pop,Vocal",0
14656,14656,2939,313,In a World Like This [CD],Backstreet Boys,Pop,This Is Us,Backstreet Boys,"Rock,Dance,Pop",0
14968,14968,424,324,Now That's What I Call Music! 64 [CD],Various Artists,Pop,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
14980,14980,790,324,Now That's What I Call Music! 63 [CD],Various Artists,Pop,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
14992,14992,1020,324,Now That's What I Call Music! 61 [CD],Various Artists,Pop,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
14994,14994,1067,324,Now That's What I Call Music! 59 [CD],Various Artists,Pop,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
14995,14995,1113,324,Now That's What I Call Music! 60 [Deluxe Edition] [CD],Various Artists,Pop,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
14996,14996,1114,324,Stranger Things [Music From the Netflix Original Series] [LP] - VINYL,Various Artists,Soundtracks & Shows,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
14998,14998,1164,324,Now That's What I Call Music! 60 [CD],Various Artists,Pop,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
15045,15045,2768,324,Now That's What I Call Music! 57 [CD],Various Artists,Pop,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
15049,15049,2918,324,Now That's What I Call Music! 55 [CD],Various Artists,Pop,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
15073,15073,3659,324,Wake Up You! Vol. 1 : The Rise & Fall of Nigerian Rock Music 1972-1977 [CD],Various Artists,Pop,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
15088,15088,4264,324,Romantic Approach: A Special Collection of 20th Century American Music [CD],Various Artists,Classical,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
15090,15090,4313,324,Now That's What I Call Music! 58 [16-Track CD] [CD],Various Artists,Pop,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
15099,15099,312,324,"Guardians of the Galaxy: Awesome Mix, Vol. 1 [Enhanced CD]",Various Artists,Pop,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
15110,15110,689,324,"Guardians of the Galaxy: Awesome Mix, Vol. 1 [LP] - VINYL",Various Artists,Soundtracks & Shows,"Glee: The Music, Volume 1",Various Artists,"Pop,Soundtrack,Vocal",0
16284,16284,1082,351,The Time of Our Lives [CD],Miley Cyrus,Pop,The Time Of Our Lives [EP],Miley Cyrus,"Rock,Pop",1
17940,17940,258,372,Time Flies: The Best of Huey Lewis & the News [CD],Huey Lewis & the News,Pop,The Duckworth Lewis Method,The Duckworth Lewis Method,"Rock,Pop",0
18063,18063,784,381,Siamese Dream [LP] - VINYL,The Smashing Pumpkins,Pop,Walking On A Dream,Empire of the Sun,"Pop,Electronic",0
18436,18436,221,396,Sounds of Summer: The Very Best of the Beach Boys [CD],The Beach Boys,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18440,18440,241,396,The Punishment of Luxury [CD],Orchestral Manoeuvres in the Dark,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18446,18446,258,396,Time Flies: The Best of Huey Lewis & the News [CD],Huey Lewis & the News,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18447,18447,268,396,Playlist: The Very Best of the Guess Who [CD],The Guess Who,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18456,18456,326,396,Best of the Mamas & the Papas: 20th Century Masters [CD],The Mamas & the Papas,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18460,18460,343,396,The Very Best of the Rolling Stones 1964-1971 [CD],The Rolling Stones,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18475,18475,429,396,The Battle of Los Angeles [CD] [PA],Rage Against the Machine,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18507,18507,600,396,Death of a Bachelor [LP] - VINYL,Panic! At the Disco,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18527,18527,710,396,Moving in Stereo: The Best of the Cars [LP] - VINYL,The Cars,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18610,18610,1305,396,Best of the Knack [CD],The Knack,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18622,18622,1380,396,Moving in Stereo: The Best of the Cars [CD],The Cars,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18639,18639,1546,396,Days of Future Passed: Live [CD],The Moody Blues,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18640,18640,1548,396,20th Century Masters - The Millennium Collection: The Best of the Grass Roots [CD],The Grass Roots,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18660,18660,1675,396,Big Innings: The Best of the Outfield [CD],The Outfield,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18661,18661,1676,396,The Very Best of the Rascals [Rhino] [CD],The Rascals,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18674,18674,1720,396,Best of OMD [UK Bonus Tracks] [CD],Orchestral Manoeuvres in the Dark,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18675,18675,1722,396,The Very Best of Tommy James & the Shondells [CD],Tommy James & the Shondells,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18676,18676,1738,396,The Very Best of the Doors [2007 2-CD] [CD],The Doors,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18690,18690,1877,396,Days of Future Passed [LP] - VINYL,The Moody Blues,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18691,18691,1880,396,96 Tears: The Very Best of Question Mark & the Mysterians [CD],? & the Mysterians,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18704,18704,1951,396,The  Disfigurement of Existence [CD],Signs of the Swarm,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18710,18710,2013,396,Death of a Bachelor [CD],Panic! At the Disco,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18750,18750,2356,396,Through the Years: The Best of the Fray [CD],The Fray,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18780,18780,2575,396,The Very Best of Jay & the Americans [CD],Jay & the Americans,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18818,18818,2837,396,The Very Best of the Righteous Brothers: Unchained Melody [CD],The Righteous Brothers,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18829,18829,2936,396,The Very Best of Adam & the Ants: Stand & Deliver [CD],Adam and the Ants,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18830,18830,2949,396,The  Boys of Zummer Tour: Live in Chicago [DVD],Fall Out Boy,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18870,18870,3286,396,City of Sound [CD],The Revivalists,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18883,18883,3363,396,The Punishment of Luxury: B Sides & Bonus Material [CD],Orchestral Manoeuvres in the Dark,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18892,18892,3430,396,Playlist: The Very Best of the Turtles [CD],The Turtles,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18905,18905,3530,396,The Punishment of Luxury [CD & DVD],Orchestral Manoeuvres in the Dark,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18924,18924,3674,396,The Very Best of Frankie Valli & the Four Seasons [Rhino 2002] [CD],Frankie Valli & the Four Seasons,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18952,18952,3845,396,Temple of the Dog [CD],Temple of the Dog,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18953,18953,3848,396,Come on Get Happy: Very Best of Partridge Family [Remastered] [CD],The Partridge Family,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18963,18963,3941,396,The Resistance: Rise of the Runaways [CD],Crown the Empire,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18980,18980,4052,396,The Age of Absurdity [CD],Phil Campbell & the Bastard Sons,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18981,18981,4060,396,Jump Back: The Best of the Rolling Stones (1971-1993) [CD],The Rolling Stones,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18992,18992,4157,396,The Best of KC and the Sunshine Band [CD],KC & the Sunshine Band,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
18993,18993,4160,396,In Search of the Lost Chord [US 2008 Bonus Tracks] [CD],The Moody Blues,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
19005,19005,4208,396,Elektra Years: 1978-1987 [Six-LP Set of Colored Vinyl] [LP] - VINYL,The Cars,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
19006,19006,4209,396,Let It Rock: The Best of the Georgia Satellites [CD],The Georgia Satellites,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
19022,19022,4279,396,20th Century Masters: The Millennium Collection: Best of the Moody Blues [CD],The Moody Blues,Pop,Law Of The Playground,The Boy Least Likely To,"Indie,Rock,Pop",0
19087,19087,2173,398,I See You [CD],The xx,Pop,I Have Hands,The Bran Flakes,"Indie,Rock,Pop",0
19094,19094,2781,398,I Am Human [CD],Escape the Fate,Pop,I Have Hands,The Bran Flakes,"Indie,Rock,Pop",0
19723,19723,1022,430,The  Best of David Gray [CD],David Gray,Pop,David Archuleta,David Archuleta,"Rock,Pop",0
19728,19728,1022,432,The  Best of David Gray [CD],David Gray,Pop,David Cook,David Cook,"Rock,Pop",0
19767,19767,1064,434,I Am...Sasha Fierce [Deluxe Edition] [CD],Beyoncé,R&B Soul,I Am...Sasha Fierce,Beyoncé,"Pop,R&B,Soul",1
19947,19947,3245,439,Day & Age [LP] - VINYL,The Killers,Pop,Day & Age,The Killers,"Rock,Pop",1
19950,19950,4052,439,The Age of Absurdity [CD],Phil Campbell & the Bastard Sons,Pop,Day & Age,The Killers,"Rock,Pop",0
20202,20202,2173,446,I See You [CD],The xx,Pop,I Think We're Gonna Need A Bigger Boat,The BPA (Brighton Port Authority),"Indie,Rock,Pop",0
20209,20209,2781,446,I Am Human [CD],Escape the Fate,Pop,I Think We're Gonna Need A Bigger Boat,The BPA (Brighton Port Authority),"Indie,Rock,Pop",0
20221,20221,1734,446,No Need to Argue [LP] - VINYL,The Cranberries,Pop,I Think We're Gonna Need A Bigger Boat,The BPA (Brighton Port Authority),"Indie,Rock,Pop",0
20223,20223,3862,446,No Need to Argue [The Complete Sessions 1994-1995] [CD],The Cranberries,Pop,I Think We're Gonna Need A Bigger Boat,The BPA (Brighton Port Authority),"Indie,Rock,Pop",0
20224,20224,4204,446,No Need to Argue [LP] - VINYL,The Cranberries,Pop,I Think We're Gonna Need A Bigger Boat,The BPA (Brighton Port Authority),"Indie,Rock,Pop",0
20254,20254,2399,447,Light Me Up [Bonus Track] [CD],The Pretty Reckless,Pop,The Crying Light,Antony and the Johnsons,"Indie,Rock,Pop",0
20304,20304,271,453,The Fame [Bonus Track] [CD],Lady Gaga,Pop,The Fame,Lady Gaga,"Rock,Dance,Pop",1
20305,20305,1388,453,The Fame [LP] - VINYL,Lady Gaga,Pop,The Fame,Lady Gaga,"Rock,Dance,Pop",1
20306,20306,3379,453,The Fame Monster [Deluxe Edition] [CD],Lady Gaga,Pop,The Fame,Lady Gaga,"Rock,Dance,Pop",1
20976,20976,3939,459,"Rock 'n Soul, Pt. 1 [Bonus Tracks] [CD]",Daryl Hall & John Oates,Pop,Seaside Rock,Peter Bjorn and John,"Indie,Rock,Pop",0
21245,21245,3549,468,Earth Is Not A Cold Dead Place [LP] - VINYL,Explosions in the Sky,Pop,Not Animal,Margot & the Nuclear So and So's,"Indie,Rock,Pop",0
22293,22293,3421,489,All Four One [CD],The Motels,Pop,All Or Nothing,The Subways,"Rock,Pop",0
22295,22295,3441,489,All Time Greatest Hits [CD],The Grass Roots,Pop,All Or Nothing,The Subways,"Rock,Pop",0
22310,22310,828,489,What If Nothing [CD],Walk the Moon,Pop,All Or Nothing,The Subways,"Rock,Pop",0
22321,22321,2404,491,Amy [Original Motion Picture Soundtrack] [CD],Amy Winehouse,Pop,Wreckless Eric & Amy Rigby,Wreckless Eric & Amy Rigby,"Indie,Rock,Pop",0
23024,23024,1079,500,"Everybody Else Is Doing It, So Why Can't We? [180-Gram Vinyl LP] [LP] - VINYL",The Cranberries,Pop,The Royal We,The Royal We,"Indie,Rock,Pop",0
23079,23079,4060,507,Jump Back: The Best of the Rolling Stones (1971-1993) [CD],The Rolling Stones,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23119,23119,221,507,Sounds of Summer: The Very Best of the Beach Boys [CD],The Beach Boys,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23123,23123,241,507,The Punishment of Luxury [CD],Orchestral Manoeuvres in the Dark,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23129,23129,258,507,Time Flies: The Best of Huey Lewis & the News [CD],Huey Lewis & the News,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23130,23130,268,507,Playlist: The Very Best of the Guess Who [CD],The Guess Who,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23139,23139,326,507,Best of the Mamas & the Papas: 20th Century Masters [CD],The Mamas & the Papas,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23143,23143,343,507,The Very Best of the Rolling Stones 1964-1971 [CD],The Rolling Stones,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23158,23158,429,507,The Battle of Los Angeles [CD] [PA],Rage Against the Machine,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23189,23189,600,507,Death of a Bachelor [LP] - VINYL,Panic! At the Disco,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23209,23209,710,507,Moving in Stereo: The Best of the Cars [LP] - VINYL,The Cars,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23292,23292,1305,507,Best of the Knack [CD],The Knack,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23304,23304,1380,507,Moving in Stereo: The Best of the Cars [CD],The Cars,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23321,23321,1546,507,Days of Future Passed: Live [CD],The Moody Blues,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23322,23322,1548,507,20th Century Masters - The Millennium Collection: The Best of the Grass Roots [CD],The Grass Roots,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23342,23342,1675,507,Big Innings: The Best of the Outfield [CD],The Outfield,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23343,23343,1676,507,The Very Best of the Rascals [Rhino] [CD],The Rascals,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23356,23356,1720,507,Best of OMD [UK Bonus Tracks] [CD],Orchestral Manoeuvres in the Dark,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23357,23357,1722,507,The Very Best of Tommy James & the Shondells [CD],Tommy James & the Shondells,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23358,23358,1738,507,The Very Best of the Doors [2007 2-CD] [CD],The Doors,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23372,23372,1877,507,Days of Future Passed [LP] - VINYL,The Moody Blues,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23373,23373,1880,507,96 Tears: The Very Best of Question Mark & the Mysterians [CD],? & the Mysterians,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23386,23386,1951,507,The  Disfigurement of Existence [CD],Signs of the Swarm,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23392,23392,2013,507,Death of a Bachelor [CD],Panic! At the Disco,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23432,23432,2356,507,Through the Years: The Best of the Fray [CD],The Fray,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23462,23462,2575,507,The Very Best of Jay & the Americans [CD],Jay & the Americans,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23500,23500,2837,507,The Very Best of the Righteous Brothers: Unchained Melody [CD],The Righteous Brothers,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23511,23511,2936,507,The Very Best of Adam & the Ants: Stand & Deliver [CD],Adam and the Ants,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23552,23552,3286,507,City of Sound [CD],The Revivalists,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23565,23565,3363,507,The Punishment of Luxury: B Sides & Bonus Material [CD],Orchestral Manoeuvres in the Dark,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23574,23574,3430,507,Playlist: The Very Best of the Turtles [CD],The Turtles,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23587,23587,3530,507,The Punishment of Luxury [CD & DVD],Orchestral Manoeuvres in the Dark,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23606,23606,3674,507,The Very Best of Frankie Valli & the Four Seasons [Rhino 2002] [CD],Frankie Valli & the Four Seasons,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23634,23634,3845,507,Temple of the Dog [CD],Temple of the Dog,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23635,23635,3848,507,Come on Get Happy: Very Best of Partridge Family [Remastered] [CD],The Partridge Family,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23645,23645,3941,507,The Resistance: Rise of the Runaways [CD],Crown the Empire,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23662,23662,4052,507,The Age of Absurdity [CD],Phil Campbell & the Bastard Sons,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23673,23673,4157,507,The Best of KC and the Sunshine Band [CD],KC & the Sunshine Band,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23674,23674,4160,507,In Search of the Lost Chord [US 2008 Bonus Tracks] [CD],The Moody Blues,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23686,23686,4208,507,Elektra Years: 1978-1987 [Six-LP Set of Colored Vinyl] [LP] - VINYL,The Cars,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23687,23687,4209,507,Let It Rock: The Best of the Georgia Satellites [CD],The Georgia Satellites,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23703,23703,4279,507,20th Century Masters: The Millennium Collection: Best of the Moody Blues [CD],The Moody Blues,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23716,23716,3549,507,Earth Is Not A Cold Dead Place [LP] - VINYL,Explosions in the Sky,Pop,Beating Back The Claws Of The Cold,The Pica Beats,"Indie,Rock,Pop",0
23750,23750,168,512,The Best of John Denver Live [CD],John Denver,Pop,John & Jehn,John & Jehn,"Rock,Pop",0
23752,23752,1033,512,The Essential Daryl Hall & John Oates [CD],Daryl Hall & John Oates,Pop,John & Jehn,John & Jehn,"Rock,Pop",0
23753,23753,1083,512,The Very Best of Daryl Hall & John Oates [CD],Daryl Hall & John Oates,Pop,John & Jehn,John & Jehn,"Rock,Pop",0
23754,23754,1397,512,Where the Light Is: John Mayer Live in Los Angeles [LP] - VINYL,John Mayer,Pop,John & Jehn,John & Jehn,"Rock,Pop",0
23757,23757,3117,512,The Long Road Home: The Ultimate John Fogerty/Creedence Collection [CD] [PA],John Fogerty,Pop,John & Jehn,John & Jehn,"Rock,Pop",0
24496,24496,828,523,What If Nothing [CD],Walk the Moon,Pop,We Started Nothing,The Ting Tings,"Rock,Pop",0
24500,24500,1079,523,"Everybody Else Is Doing It, So Why Can't We? [180-Gram Vinyl LP] [LP] - VINYL",The Cranberries,Pop,We Started Nothing,The Ting Tings,"Rock,Pop",0
24555,24555,274,526,A Fever You Can't Sweat Out [CD],Panic! At the Disco,Pop,See You Happy,Ponies In The Surf,"Indie,Rock,Pop",0
24577,24577,1909,526,Until You Find Your Green [LP] - VINYL,The Baird Sisters,Pop,See You Happy,Ponies In The Surf,"Indie,Rock,Pop",0
24581,24581,2173,526,I See You [CD],The xx,Pop,See You Happy,Ponies In The Surf,"Indie,Rock,Pop",0
24592,24592,3238,526,If You Can Believe Your Eyes and Ears [CD],The Mamas & the Papas,Pop,See You Happy,Ponies In The Surf,"Indie,Rock,Pop",0
24593,24593,3348,526,If You Can Believe Your Eyes and Ears [CD],The Mamas & the Papas,Pop,See You Happy,Ponies In The Surf,"Indie,Rock,Pop",0
24598,24598,3694,526,Fever You Can't Sweat Out [LP] - VINYL,Panic! At the Disco,Pop,See You Happy,Ponies In The Surf,"Indie,Rock,Pop",0
24608,24608,3848,526,Come on Get Happy: Very Best of Partridge Family [Remastered] [CD],The Partridge Family,Pop,See You Happy,Ponies In The Surf,"Indie,Rock,Pop",0
24622,24622,826,530,19 [Limited Edition] [LP] - VINYL,Adele,Pop,19,Adele,"Rock,Pop",1
24623,24623,878,530,19 [CD],Adele,Pop,19,Adele,"Rock,Pop",1
25174,25174,2831,534,Playlist: The Very Best of Steve Perry [CD],Steve Perry,Pop,One Of The Boys,Katy Perry,"Rock,Pop",0
25423,25423,179,537,1 [20-Track]  [CD],The Beatles,Pop,Volume 1: Frozen Ropes and Dying Quails,The Baseball Project,"Rock,Pop",0
25442,25442,690,537,1 [LP] - VINYL,The Beatles,Pop,Volume 1: Frozen Ropes and Dying Quails,The Baseball Project,"Rock,Pop",0
25473,25473,2883,537,"Prevail, Vol. 1 [CD]",Kobra and the Lotus,Pop,Volume 1: Frozen Ropes and Dying Quails,The Baseball Project,"Rock,Pop",0
25487,25487,3763,537,"The Traveling Wilburys, Vol. 1 [CD]",The Traveling Wilburys,Pop,Volume 1: Frozen Ropes and Dying Quails,The Baseball Project,"Rock,Pop",0
25496,25496,4043,537,1+ [CD/2-Blu-Ray] [CD & Blu-Ray],The Beatles,Pop,Volume 1: Frozen Ropes and Dying Quails,The Baseball Project,"Rock,Pop",0
25558,25558,274,544,A Fever You Can't Sweat Out [CD],Panic! At the Disco,Pop,Life With You,The Proclaimers,"Rock,Pop",0
